project_id,target_label,top_k_project_ids,top_k_similarity_scores,top_k_labels,neighbor_low_ratio,neighbor_mid_ratio,neighbor_high_ratio,mean_similarity,max_similarity,retrieval_text_policy
91501,Low,117201|96372|90984|14384|183297,0.126197|0.125446|0.117072|0.114266|0.114253,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.11944685934964219,0.12619692500498295,Description-centered TF-IDF; title/benefits are auxiliary context.
9713,Mid,94764|9898|93608|9152|101983,0.173037|0.167841|0.165710|0.162864|0.159142,Mid|Mid|Mid|Mid|Low,0.2,0.8,0.0,0.16571892797837023,0.17303666515019164,Description-centered TF-IDF; title/benefits are auxiliary context.
116366,Mid,158107|93570|154748|158104|89814,0.256303|0.253830|0.228569|0.207790|0.207239,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.23074592587928838,0.25630263586604174,Description-centered TF-IDF; title/benefits are auxiliary context.
17828,Mid,16733|34064|9419|95734|158005,0.990088|0.403527|0.249672|0.247637|0.228046,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.4237940723311877,0.99008847037329,Description-centered TF-IDF; title/benefits are auxiliary context.
33270,Mid,17904|9877|12942|18393|10592,0.862429|0.202714|0.202658|0.176617|0.158695,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.3206224133531415,0.862428575469675,Description-centered TF-IDF; title/benefits are auxiliary context.
157202,Low,95929|102156|102321|125549|157694,0.207825|0.205773|0.181207|0.180125|0.174468,Low|Mid|Mid|Mid|Mid,0.2,0.8,0.0,0.18987947856901188,0.20782501960958588,Description-centered TF-IDF; title/benefits are auxiliary context.
12176,Mid,94938|106704|96643|97128|106578,0.235347|0.215095|0.204154|0.204154|0.201398,Mid|Mid|High|High|Mid,0.0,0.6,0.4,0.21202980574655905,0.23534689409821097,Description-centered TF-IDF; title/benefits are auxiliary context.
91553,Low,94737|93595|154450|101956|102719,0.162528|0.151010|0.150603|0.140039|0.137757,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.1483874983969464,0.16252822821378002,Description-centered TF-IDF; title/benefits are auxiliary context.
113260,Mid,154691|158289|154591|154365|112864,0.238848|0.210783|0.198884|0.190950|0.188597,Mid|Mid|Low|High|Mid,0.2,0.6,0.2,0.20561249573833193,0.23884839181043174,Description-centered TF-IDF; title/benefits are auxiliary context.
106034,Low,13570|157710|158374|117111|10545,0.154326|0.144268|0.119477|0.115639|0.112714,Mid|Low|Low|Mid|Low,0.6,0.4,0.0,0.12928466180159737,0.15432582587124605,Description-centered TF-IDF; title/benefits are auxiliary context.
116087,High,95780|14520|145079|9414|96363,0.182251|0.180016|0.162823|0.162299|0.162291,High|Low|Mid|Mid|Mid,0.2,0.6,0.2,0.16993606451129678,0.18225076661690273,Description-centered TF-IDF; title/benefits are auxiliary context.
146023,Low,4884|90525|12022|17883|9164,0.189950|0.188572|0.160022|0.159404|0.156867,High|Mid|High|Low|Mid,0.2,0.4,0.4,0.17096280886656948,0.18994964275843051,Description-centered TF-IDF; title/benefits are auxiliary context.
158347,Mid,102156|102639|112957|184630|158186,0.183256|0.182939|0.172555|0.169415|0.169011,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.17543511031108658,0.18325575835006588,Description-centered TF-IDF; title/benefits are auxiliary context.
9109,Mid,9843|9851|12851|9335|9859,0.393989|0.361842|0.270132|0.231598|0.230754,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.2976631990663804,0.3939887150263647,Description-centered TF-IDF; title/benefits are auxiliary context.
9552,Mid,7899|94562|93538|95726|18378,0.297207|0.263132|0.254930|0.249852|0.242981,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.2616205603715824,0.2972068250501938,Description-centered TF-IDF; title/benefits are auxiliary context.
4373,Low,12110|118417|4365|95585|11005,0.166523|0.144422|0.141242|0.139135|0.137582,Mid|Mid|Low|Low|Low,0.6,0.4,0.0,0.14578082353287583,0.1665226137785741,Description-centered TF-IDF; title/benefits are auxiliary context.
18152,Mid,9885|18228|17750|102096|16576,0.224663|0.209930|0.209678|0.206594|0.199300,High|Mid|Mid|Mid|Mid,0.0,0.8,0.2,0.21003297020027817,0.22466304865123474,Description-centered TF-IDF; title/benefits are auxiliary context.
93495,Mid,93989|10889|103150|95044|106056,0.188911|0.174566|0.158272|0.153728|0.150888,Low|Low|Low|Low|Low,1.0,0.0,0.0,0.16527314776692786,0.1889111876359626,Description-centered TF-IDF; title/benefits are auxiliary context.
117181,Mid,116085|116098|117188|93735|106828,0.230784|0.151327|0.145503|0.136886|0.135346,Mid|Mid|Mid|Mid|High,0.0,0.8,0.2,0.15996914150770483,0.23078408758650348,Description-centered TF-IDF; title/benefits are auxiliary context.
117421,Mid,146885|94168|90501|33160|118388,0.421320|0.266438|0.171566|0.166295|0.156303,Mid|Mid|Mid|Mid|Low,0.2,0.8,0.0,0.2363841818538246,0.4213200857364662,Description-centered TF-IDF; title/benefits are auxiliary context.
102050,Mid,154450|89798|10822|10826|94737,0.584012|0.170736|0.134396|0.133431|0.126521,Mid|Mid|Low|Low|Mid,0.4,0.6,0.0,0.2298191890059736,0.5840118357150988,Description-centered TF-IDF; title/benefits are auxiliary context.
146109,Low,96190|94139|33926|96055|12206,0.165532|0.155727|0.131490|0.129255|0.121153,Low|High|High|Mid|High,0.2,0.2,0.6,0.14063145366768276,0.16553212244586643,Description-centered TF-IDF; title/benefits are auxiliary context.
146294,Low,146913|34963|8895|10372|93517,0.191978|0.180711|0.166588|0.154170|0.152744,Low|Low|Mid|Mid|Mid,0.4,0.6,0.0,0.1692382305345356,0.1919779930761595,Description-centered TF-IDF; title/benefits are auxiliary context.
12299,Low,9202|8801|8892|33197|10440,0.184790|0.181519|0.166902|0.146930|0.134747,Low|Mid|Low|Mid|Low,0.6,0.4,0.0,0.16297769328247266,0.18478989468839455,Description-centered TF-IDF; title/benefits are auxiliary context.
102750,Mid,158267|101985|102684|154672|154457,0.293725|0.252073|0.244597|0.234679|0.224743,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.24996350684855062,0.29372528870748366,Description-centered TF-IDF; title/benefits are auxiliary context.
18218,Low,90099|34176|18209|101878|33338,0.399395|0.240682|0.235971|0.233001|0.225423,Mid|Mid|Low|Mid|Mid,0.2,0.8,0.0,0.26689430629845334,0.39939470561180745,Description-centered TF-IDF; title/benefits are auxiliary context.
94854,Low,157210|157572|145982|101918|14628,0.979256|0.290085|0.179548|0.150400|0.146294,Low|Mid|Low|Mid|Low,0.6,0.4,0.0,0.3491166545254233,0.9792560390844546,Description-centered TF-IDF; title/benefits are auxiliary context.
95626,Low,94105|95044|16614|18086|93955,0.781749|0.182456|0.177818|0.175839|0.174386,Low|Low|Low|Mid|Low,0.8,0.2,0.0,0.2984494629168782,0.7817487467769936,Description-centered TF-IDF; title/benefits are auxiliary context.
13649,Mid,13740|102167|34002|91472|146106,0.178560|0.163786|0.154939|0.154735|0.153683,Low|Mid|Low|Low|Low,0.8,0.2,0.0,0.16114057727930203,0.17856001563081308,Description-centered TF-IDF; title/benefits are auxiliary context.
158332,Mid,96938|105783|154706|154447|125721,0.202166|0.170874|0.169312|0.167143|0.166490,Mid|Low|Mid|Mid|Mid,0.2,0.8,0.0,0.17519684865963692,0.20216580612341362,Description-centered TF-IDF; title/benefits are auxiliary context.
11545,Low,10360|9646|11489|18634|12021,0.144560|0.114967|0.110941|0.110339|0.110194,Low|Low|Low|Mid|Low,0.8,0.2,0.0,0.1182001202898026,0.14455979908346997,Description-centered TF-IDF; title/benefits are auxiliary context.
8861,Mid,8961|33620|8517|9822|9714,0.179878|0.148033|0.147288|0.140263|0.137745,Mid|High|Mid|Mid|Mid,0.0,0.8,0.2,0.15064145503067478,0.17987770353203872,Description-centered TF-IDF; title/benefits are auxiliary context.
9882,Mid,9367|8962|117126|9815|89589,0.613569|0.210972|0.198994|0.182710|0.165308,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.27431062720971944,0.6135691725259012,Description-centered TF-IDF; title/benefits are auxiliary context.
95715,Mid,8988|33783|16814|103066|102111,0.174472|0.159578|0.154683|0.146901|0.143949,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.1559168027251261,0.17447178148068945,Description-centered TF-IDF; title/benefits are auxiliary context.
94836,Mid,40620|90992|96404|17394|9632,0.543097|0.269166|0.235305|0.177550|0.163088,Low|Mid|Low|Mid|Mid,0.4,0.6,0.0,0.27764106762346963,0.543097165193026,Description-centered TF-IDF; title/benefits are auxiliary context.
10343,Mid,10325|10418|112935|8678|10298,0.883216|0.386128|0.158739|0.154490|0.150842,Mid|Mid|Mid|Mid|Low,0.2,0.8,0.0,0.346682738219169,0.8832156016077716,Description-centered TF-IDF; title/benefits are auxiliary context.
16765,Mid,17792|101921|90466|112889|17847,0.549928|0.309592|0.296801|0.289759|0.270016,Mid|Mid|Mid|High|Mid,0.0,0.8,0.2,0.3432194177736864,0.5499283592450079,Description-centered TF-IDF; title/benefits are auxiliary context.
10886,Low,183282|117297|10727|11951|145082,0.164982|0.151906|0.135828|0.130500|0.129088,Mid|Mid|Low|Mid|Mid,0.2,0.8,0.0,0.1424608637034654,0.16498226588104467,Description-centered TF-IDF; title/benefits are auxiliary context.
158024,Mid,158041|154812|93325|106022|154850,0.159446|0.151599|0.140929|0.140343|0.134375,Mid|Mid|Low|Low|Mid,0.4,0.6,0.0,0.1453384615988868,0.15944603635462137,Description-centered TF-IDF; title/benefits are auxiliary context.
9584,Mid,9123|8969|9124|33875|118349,0.395365|0.392502|0.361063|0.213992|0.201499,Mid|High|Mid|Mid|Low,0.2,0.6,0.2,0.31288419532592765,0.39536458614936276,Description-centered TF-IDF; title/benefits are auxiliary context.
93698,Mid,13733|113526|116272|158260|125486,0.191585|0.172427|0.169075|0.166759|0.161331,Low|Low|Mid|Mid|Low,0.6,0.4,0.0,0.17223551396793627,0.1915846709153149,Description-centered TF-IDF; title/benefits are auxiliary context.
157711,Low,157657|117120|16754|182857|17893,0.145984|0.140082|0.125941|0.125296|0.122521,Mid|Mid|Mid|Low|Mid,0.2,0.8,0.0,0.13196472116076352,0.14598355718651052,Description-centered TF-IDF; title/benefits are auxiliary context.
94050,Low,146262|8414|9418|125780|125665,0.488664|0.121556|0.117503|0.110783|0.105498,Low|Low|Low|Low|Low,1.0,0.0,0.0,0.18880073938010208,0.48866351216822956,Description-centered TF-IDF; title/benefits are auxiliary context.
91771,Mid,116332|14686|94117|8925|146419,0.170913|0.147310|0.142204|0.138843|0.137694,Mid|Mid|Mid|Mid|Low,0.2,0.8,0.0,0.14739274521402052,0.17091260451529858,Description-centered TF-IDF; title/benefits are auxiliary context.
16793,Mid,17989|90099|113097|112793|9745,0.526758|0.251898|0.178034|0.170235|0.167736,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.2589320892430861,0.5267575873158028,Description-centered TF-IDF; title/benefits are auxiliary context.
154528,Mid,113566|158183|125600|158184|158200,0.317048|0.286532|0.280801|0.246980|0.231757,Low|Mid|Low|Mid|Mid,0.4,0.6,0.0,0.2726235789349493,0.3170482691932889,Description-centered TF-IDF; title/benefits are auxiliary context.
9721,Mid,33337|9633|16688|95595|18076,0.224282|0.196603|0.195351|0.179172|0.169617,Low|Mid|Mid|High|Mid,0.2,0.6,0.2,0.19300473351428912,0.22428186174091785,Description-centered TF-IDF; title/benefits are auxiliary context.
9764,Mid,89640|33494|102997|93721|9107,0.252979|0.221002|0.216224|0.215594|0.201613,Mid|Mid|Low|Mid|Mid,0.2,0.8,0.0,0.22148221063871582,0.2529785287157922,Description-centered TF-IDF; title/benefits are auxiliary context.
89766,Mid,33633|87664|18087|95027|94954,0.249743|0.203668|0.190418|0.190323|0.188412,Mid|Mid|Low|Low|Mid,0.4,0.6,0.0,0.20451278534182635,0.2497426081282414,Description-centered TF-IDF; title/benefits are auxiliary context.
18357,Mid,18378|33496|33698|154438|112968,0.360761|0.259531|0.256534|0.216700|0.208812,Mid|Mid|Mid|Mid|Mid,0.0,1.0,0.0,0.2604677887264654,0.36076092990736697,Description-centered TF-IDF; title/benefits are auxiliary context.
